sid,qid,exec_time,memory,score
1027699,56328,0.04,96.07,1
1027701,34810,0.96,721.74,0
1027702,1017,0.0,0.0,0
1027706,7605,1.21,912.15,0
103034,56331,0.05,94.01,1
1027707,56323,0.02,98.91,0
103036,25591,1.15,847.88,0
575101,56331,0.75,113.05,1
1027709,3339,1.34,880.21,1
1027711,22498,0.07,1283.76,0
1028225,7605,1.36,750.11,0
132738,56324,0.03,94.11,1
120451,7963,2.64,976.52,1
1027715,7902,1.86,1670.65,0
1027639,2888,0.03,22.93,0
1027640,3354,1.55,932.37,0
103051,25592,1.45,838.88,1
1027726,22499,0.19,801.18,0
577679,34811,1.49,1025.01,1
578191,1106,0.0,0.0,0
1027641,3496,2.06,993.37,1
1027729,56325,0.03,98.59,1
1027642,34810,0.66,720.87,0
103061,56324,0.09,98.59,1
577688,8192,0.09,106.67,1
1027737,21498,0.0,0.0,1
103080,9687,0.05,95.19,0
1027752,56431,0.07,97.25,1
103082,56328,0.04,92.43,0
103084,22498,0.1,845.09,0
586413,56323,0.68,114.39,1
103086,3472,1.83,728.48,0
653486,2921,0.13,25.21,1
103089,56324,0.03,93.7,1
1027764,25592,1.81,798.22,1
1027766,3469,1.56,751.02,1
103102,56324,0.04,84.79,0
1027790,56467,0.04,97.35,1
149712,3339,1.41,713.15,1
103122,3471,1.89,671.97,1
1027827,3404,1.55,741.16,1
103159,3471,1.36,661.77,1
575748,3321,1.99,1034.59,1
103174,3497,1.37,789.05,1
412941,8188,0.63,113.98,1
575757,8261,0.16,107.47,0
204559,25592,1.65,838.97,1
580879,1023,0.0,0.0,1
575255,7828,1.36,941.71,0
1027874,8186,0.03,95.55,1
1027879,1012,0.0,0.0,1
585004,8191,0.15,105.84,1
577333,56325,0.31,108.94,1
1045816,22498,0.18,1123.8,0
43324,22517,1.72,662.98,1
575292,3321,1.88,1081.52,1
575300,56428,0.74,113.46,1
575306,1055,0.0,0.0,0
1028946,8188,0.03,100.37,1
103252,56330,0.05,95.93,0
103263,21496,0.0,0.0,1
103264,25591,1.18,789.46,0
103265,2889,0.06,24.27,0
1027937,56331,0.04,106.89,1
103267,56332,0.04,93.89,0
575334,56324,0.35,112.62,1
574313,1061,0.0,0.0,1
575338,56333,0.4,109.54,0
576875,56324,0.37,110.64,1
103279,3496,1.17,789.7,0
574320,21497,0.0,0.0,0
575345,3321,1.15,1026.34,1
102771,56330,0.04,94.12,1
102772,20610,0.0,0.0,1
103283,56324,0.03,94.41,1
600950,1107,0.0,0.0,1
575348,3404,1.93,1023.58,0
102776,25590,1.59,835.07,0
580984,8188,0.21,107.45,0
1028988,22499,0.21,873.85,0
103292,21497,0.0,0.0,1
103293,21496,0.0,0.0,1
575356,21496,0.0,0.0,1
575357,1018,0.0,0.0,1
662402,8192,0.1,106.72,1
575874,56463,0.08,103.63,1
575366,56324,0.25,107.7,0
575367,21496,0.0,0.0,0
575368,3471,1.17,1025.96,0
575369,8161,0.21,108.0,1
575370,8186,0.45,114.99,1
575373,8188,0.26,109.42,1
102799,7902,1.68,751.79,0
575377,1108,0.0,0.0,0
574357,3497,1.62,1025.17,1
575382,56333,0.08,102.46,1
576407,56463,0.16,108.43,0
576408,8161,1.44,121.24,1
576410,34809,0.0,0.0,1
576412,1053,0.0,0.0,0
575390,3339,2.31,1028.3,0
575392,56431,0.24,108.53,1
103330,21497,0.0,0.0,0
575394,56429,0.29,113.68,0
103332,25590,1.36,662.28,0
103334,20610,0.0,0.0,0
103335,3495,1.34,662.14,1
575398,56334,0.52,114.46,0
575402,7642,0.0,0.0,0
575405,1108,0.0,0.0,1
575407,8261,0.74,116.24,1
575408,56428,0.52,110.07,1
575409,56325,0.75,114.95,0
103347,56330,0.15,98.64,1
492984,3472,1.68,1023.95,1
574906,3469,1.38,1032.51,0
575418,8193,0.22,106.99,1
575934,2895,0.29,29.66,0
574912,2888,0.11,25.02,1
575426,25590,1.77,1030.82,1
130500,25590,1.17,976.18,0
575431,1018,0.0,0.0,1
575946,56463,0.19,106.07,1
102864,25591,1.9,790.51,1
575440,3478,1.5,1021.7,1
102866,25592,1.6,841.18,1
102867,25592,2.02,831.77,1
102868,21497,0.0,0.0,1
130516,22498,0.12,770.05,0
575445,8260,0.26,109.2,1
102871,56333,0.04,93.72,1
575952,22499,0.49,1166.02,0
